ID,Type,CircleMode,MX,MY,MZ,TX,TY,TZ,TR,TA,Speed,AccSpeed,IOStatus,StartDelay,EndDelay,StartDelayIOStatus,EndDelayIOStatus,Section
1,0,-1,-,-,-,-0.086497340,3.376872207,0.000000000,0.000,0.000,11.000,11.000,0,0.000,0.000,0,0,1_2
2,0,-1,-,-,-,0.564269124,3.600776801,0.000000000,0.000,0.000,11.000,11.000,1,0.000,0.000,0,1,1_2
3,0,-1,-,-,-,0.683035463,2.427152457,0.000000000,0.000,0.000,11.000,11.000,1,0.000,0.000,0,0,1_2
4,0,-1,-,-,-,0.788034292,0.880023918,0.000000000,0.000,0.000,11.000,11.000,1,0.000,0.000,0,0,1_2
5,0,-1,-,-,-,1.347793368,0.532769870,0.000000000,0.000,0.000,11.000,11.000,1,0.000,0.000,0,0,1_2
6,0,-1,-,-,-,1.379948987,-1.787476785,0.000000000,0.000,0.000,6.000,5.000,1,0.000,0.000,0,0,1_2
7,0,-1,-,-,-,1.208785726,-1.705034448,0.000000000,0.000,0.000,6.000,5.000,1,0.000,0.000,0,0,1_2
8,0,-1,-,-,-,1.407670911,-0.283147161,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0,1_2
9,0,-1,-,-,-,-0.651021180,1.197083523,0.000000000,0.000,0.000,10.000,10.000,1,0.000,0.000,0,0,1_2
10,0,-1,-,-,-,-0.479556921,1.109874801,0.000000000,0.000,0.000,15.000,15.000,0,0.000,0.000,0,0,1_2
MinX,-999,MaxX,999,MinY,-999,MaxY,999,MinZ,-999,MaxZ,999,MinR,-999,MaxR,999,MinA,-999,MaxA,999
